img_id,img_name,W,H,num_gt_valid,num_gt_ignore,num_small_lt24,num_tiny_lt16,ratio_small
0,dji6000701_1.jpg,1280,1080,7,0,0,0,0.0
1,dji6000701_6.jpg,1280,1024,6,0,0,0,0.0
2,dji6000751_2.jpg,1280,1080,5,0,0,0,0.0
3,dji6000751_3.jpg,1280,1080,3,0,0,0,0.0
4,dji6001051_1.jpg,1280,1080,7,0,0,0,0.0
5,dji_399_150m00401_2.jpg,1280,1024,1,0,0,0,0.0
6,dji_399_150m00601_3.jpg,1280,1024,4,0,0,0,0.0
7,dji_399_150m00701_2.jpg,1280,1024,3,0,0,0,0.0
8,dji_399_150m00701_4.jpg,1280,1210,19,0,0,0,0.0
9,dji_399_150m00701_5.jpg,1280,1210,19,0,0,0,0.0
10,dji_399_150m00801_2.jpg,1280,1024,4,0,0,0,0.0
11,dji_399_150m00801_4.jpg,1280,1210,15,0,0,0,0.0
12,dji_399_150m01001_2.jpg,1280,1024,6,0,0,0,0.0
13,dji_399_150m01001_5.jpg,1280,1210,17,0,0,0,0.0
14,dji_399_150m01101_6.jpg,1280,1210,14,0,0,0,0.0
15,dji_399_150m01201_2.jpg,1280,1024,8,0,0,0,0.0
16,dji_399_150m01301_6.jpg,1280,1210,14,0,0,0,0.0
17,dji_399_150m01901_3.jpg,1280,1024,2,0,0,0,0.0
18,dji_399_150m02001_2.jpg,1280,1024,1,0,0,0,0.0
19,dji_399_150m02201_1.jpg,1280,1024,7,0,0,0,0.0
20,dji_399_150m02201_3.jpg,1280,1024,4,0,0,0,0.0
21,dji_399_150m02201_4.jpg,1280,1210,22,0,0,0,0.0
22,dji_399_150m02501_1.jpg,1280,1024,3,0,0,0,0.0
23,dji_399_150m02501_4.jpg,1280,1210,15,0,0,0,0.0
24,dji_399_150m02501_5.jpg,1280,1210,14,0,0,0,0.0
25,dji_399_150m02601_4.jpg,1280,1210,22,0,0,0,0.0
26,dji_399_150m02701_1.jpg,1280,1024,1,0,0,0,0.0
27,dji_399_150m02701_5.jpg,1280,1210,18,0,0,0,0.0
28,dji_399_150m02801_3.jpg,1280,1024,1,0,0,0,0.0
29,dji_477_150m00201_1.jpg,1280,1080,28,0,0,0,0.0
30,dji_477_150m00201_3.jpg,1280,1080,1,0,0,0,0.0
31,dji_477_150m01001_3.jpg,1280,1080,1,0,0,0,0.0
32,dji_477_150m01001_4.jpg,1280,1024,30,0,0,0,0.0
33,dji_477_150m02001_1.jpg,1280,1080,31,0,0,0,0.0
34,dji_477_150m02101_2.jpg,1280,1080,2,0,0,0,0.0
35,dji_478_150m00201_3.jpg,1280,1080,1,0,0,0,0.0
36,dji_478_150m00301_1.jpg,1280,1080,7,0,0,0,0.0
37,dji_478_150m00401_4.jpg,1280,1024,25,0,0,0,0.0
38,dji_478_150m00601_4.jpg,1280,1024,25,0,0,0,0.0
39,dji_478_150m00901_3.jpg,1280,1080,1,0,0,0,0.0
40,dji_478_150m01501_3.jpg,1280,1080,1,0,0,0,0.0
41,dji_64_150m00001_2.jpg,1280,1080,7,0,0,0,0.0
42,dji_64_150m00001_4.jpg,1280,1024,5,0,0,0,0.0
43,dji_64_150m00201_2.jpg,1280,1080,9,0,0,0,0.0
44,dji_64_150m00201_4.jpg,1280,1024,3,0,0,0,0.0
45,dji_64_150m00401_5.jpg,1280,1024,1,0,0,0,0.0
46,dji_64_150m00601_2.jpg,1280,1080,5,0,0,0,0.0
47,dji_64_150m01201_4.jpg,1280,1024,3,0,0,0,0.0
48,dji_64_150m01201_5.jpg,1280,1024,2,0,0,0,0.0
49,dji_64_150m01601_6.jpg,1280,1024,5,0,0,0,0.0
50,dji_64_150m02001_1.jpg,1280,1080,4,0,0,0,0.0
51,dji_64_150m02001_3.jpg,1280,1080,8,0,0,0,0.0
52,dji_64_150m02201_4.jpg,1280,1024,4,0,0,0,0.0
53,dji_64_150m02401_5.jpg,1280,1024,2,0,0,0,0.0
54,dji_64_150m03001_2.jpg,1280,1080,5,0,0,0,0.0
55,dji_65_150m00001_3.jpg,1280,1080,7,0,0,0,0.0
56,dji_65_150m00001_5.jpg,1280,1024,3,0,0,0,0.0
57,dji_65_150m00201_1.jpg,1280,1080,7,0,0,0,0.0
58,dji_65_150m00201_5.jpg,1280,1024,4,0,0,0,0.0
59,dji_65_150m00401_1.jpg,1280,1080,6,0,0,0,0.0
60,dji_65_150m00401_5.jpg,1280,1024,2,0,0,0,0.0
61,dji_65_150m01001_3.jpg,1280,1080,6,0,0,0,0.0
62,dji_65_150m01401_1.jpg,1280,1080,5,0,0,0,0.0
63,dji_65_150m01601_5.jpg,1280,1024,2,0,0,0,0.0
64,dji_65_150m01801_2.jpg,1280,1080,6,0,0,0,0.0
65,dji_65_150m01801_5.jpg,1280,1024,5,0,0,0,0.0
66,dji_65_150m01801_6.jpg,1280,1024,6,0,0,0,0.0
67,dji_65_150m02201_2.jpg,1280,1080,3,0,0,0,0.0
68,dji_65_150m02201_5.jpg,1280,1024,1,0,0,0,0.0
69,dji_65_150m02601_5.jpg,1280,1024,3,0,0,0,0.0
70,dji_65_150m02801_3.jpg,1280,1080,2,0,0,0,0.0
71,dji_65_150m02801_4.jpg,1280,1024,2,0,0,0,0.0
72,dji_65_150m03001_3.jpg,1280,1080,3,0,0,0,0.0
73,dji_65_150m03001_4.jpg,1280,1024,4,0,0,0,0.0
74,djibridge2_150m00201_4.jpg,1280,1024,72,0,0,0,0.0
75,djibridge2_150m00401_4.jpg,1280,1024,69,0,0,0,0.0
76,djibridge2_150m00601_1.jpg,1280,1080,11,0,1,1,0.0909090909090909
77,djibridge2_150m01001_1.jpg,1280,1080,9,0,0,0,0.0
78,djibridge2_150m01201_3.jpg,1280,1080,10,0,0,0,0.0
79,djibridge2_150m01201_6.jpg,1280,1024,47,0,0,0,0.0
80,djibridge_150m00001_6.jpg,1280,1024,47,0,0,0,0.0
81,djibridge_150m00201_5.jpg,1280,1024,17,0,0,0,0.0
82,djibridge_150m01001_2.jpg,1280,1080,20,0,0,0,0.0
83,djibridge_150m01001_3.jpg,1280,1080,17,0,0,0,0.0
84,djibridge_150m01001_5.jpg,1280,1024,21,0,0,0,0.0
85,djibridge_150m01001_6.jpg,1280,1024,78,0,0,0,0.0
86,djibridge_150m01201_1.jpg,1280,1080,2,0,0,0,0.0
87,lim_0.jpg,1920,1080,241,0,16,0,0.0663900414937759
88,lim_1020.jpg,1920,1080,235,0,19,0,0.0808510638297872
89,lim_1050.jpg,1920,1080,240,0,20,2,0.0833333333333333
90,lim_1065.jpg,1920,1080,224,0,12,0,0.0535714285714285
91,lim_1095.jpg,1920,1080,237,0,17,1,0.0717299578059071
92,lim_1110.jpg,1920,1080,239,0,19,0,0.0794979079497908
93,lim_1125.jpg,1920,1080,240,0,18,1,0.075
94,lim_1185.jpg,1920,1080,234,0,13,0,0.0555555555555555
95,lim_1215.jpg,1920,1080,239,0,16,0,0.0669456066945606
96,lim_1245.jpg,1920,1080,238,0,21,2,0.088235294117647
97,lim_135.jpg,1920,1080,242,0,21,3,0.0867768595041322
98,lim_1575.jpg,1920,1080,237,0,13,0,0.0548523206751054
99,lim_1590.jpg,1920,1080,240,0,15,2,0.0625
100,lim_1845.jpg,1920,1080,236,0,17,1,0.0720338983050847
101,lim_1875.jpg,1920,1080,238,0,19,1,0.0798319327731092
102,lim_1980.jpg,1920,1080,242,0,14,1,0.0578512396694214
103,lim_2010.jpg,1920,1080,240,0,19,1,0.0791666666666666
104,lim_2205.jpg,1920,1080,239,0,22,2,0.0920502092050209
105,lim_2340.jpg,1920,1080,239,0,17,1,0.0711297071129707
106,lim_2475.jpg,1920,1080,239,0,23,4,0.0962343096234309
107,lim_270.jpg,1920,1080,237,0,22,1,0.0928270042194092
108,lim_2910.jpg,1920,1080,248,0,22,2,0.0887096774193548
109,lim_3075.jpg,1920,1080,243,0,21,4,0.0864197530864197
110,lim_3210.jpg,1920,1080,244,0,18,2,0.0737704918032786
111,lim_3510.jpg,1920,1080,254,0,19,4,0.0748031496062992
112,lim_3630.jpg,1920,1080,259,0,24,3,0.0926640926640926
113,lim_3765.jpg,1920,1080,207,0,10,0,0.0483091787439613
114,lim_3795.jpg,1920,1080,206,0,9,0,0.0436893203883495
115,lim_3915.jpg,1920,1080,205,0,8,0,0.0390243902439024
116,pavilion_048_1065.jpg,1920,1080,21,0,0,0,0.0
117,pavilion_048_1230.jpg,1920,1080,23,0,0,0,0.0
118,pavilion_048_1335.jpg,1920,1080,22,0,0,0,0.0
119,pavilion_048_1350.jpg,1920,1080,23,0,0,0,0.0
120,pavilion_048_1530.jpg,1920,1080,21,0,0,0,0.0
121,pavilion_048_1785.jpg,1920,1080,20,0,0,0,0.0
122,pavilion_048_1800.jpg,1920,1080,20,0,0,0,0.0
123,pavilion_048_1815.jpg,1920,1080,20,0,0,0,0.0
124,pavilion_048_1905.jpg,1920,1080,23,0,0,0,0.0
125,pavilion_048_1950.jpg,1920,1080,22,0,0,0,0.0
126,pavilion_048_2070.jpg,1920,1080,22,0,0,0,0.0
127,pavilion_048_2145.jpg,1920,1080,23,0,0,0,0.0
128,pavilion_048_225.jpg,1920,1080,23,0,0,0,0.0
129,pavilion_048_2250.jpg,1920,1080,23,0,0,0,0.0
130,pavilion_048_2280.jpg,1920,1080,23,0,0,0,0.0
131,pavilion_048_2310.jpg,1920,1080,22,0,0,0,0.0
132,pavilion_048_2490.jpg,1920,1080,24,0,0,0,0.0
133,pavilion_048_255.jpg,1920,1080,23,0,0,0,0.0
134,pavilion_048_2565.jpg,1920,1080,26,0,0,0,0.0
135,pavilion_048_2625.jpg,1920,1080,27,0,0,0,0.0
136,pavilion_048_2745.jpg,1920,1080,26,0,0,0,0.0
137,pavilion_048_2775.jpg,1920,1080,25,0,1,0,0.04
138,pavilion_048_285.jpg,1920,1080,24,0,0,0,0.0
139,pavilion_048_2895.jpg,1920,1080,24,0,0,0,0.0
140,pavilion_048_30.jpg,1920,1080,25,0,0,0,0.0
141,pavilion_048_3090.jpg,1920,1080,21,0,0,0,0.0
142,pavilion_048_3135.jpg,1920,1080,22,0,0,0,0.0
143,pavilion_048_3255.jpg,1920,1080,19,0,0,0,0.0
144,pavilion_048_3330.jpg,1920,1080,18,0,0,0,0.0
145,pavilion_048_345.jpg,1920,1080,21,0,0,0,0.0
146,pavilion_048_3450.jpg,1920,1080,22,0,0,0,0.0
147,pavilion_048_3525.jpg,1920,1080,24,0,0,0,0.0
148,pavilion_048_3645.jpg,1920,1080,21,0,0,0,0.0
149,pavilion_048_3720.jpg,1920,1080,18,0,0,0,0.0
150,pavilion_048_3840.jpg,1920,1080,19,0,0,0,0.0
151,pavilion_048_3855.jpg,1920,1080,20,0,0,0,0.0
152,pavilion_048_3990.jpg,1920,1080,21,0,0,0,0.0
153,pavilion_048_4035.jpg,1920,1080,21,0,0,0,0.0
154,pavilion_048_405.jpg,1920,1080,21,0,0,0,0.0
155,pavilion_048_4110.jpg,1920,1080,20,0,0,0,0.0
156,pavilion_048_420.jpg,1920,1080,20,0,0,0,0.0
157,pavilion_048_4200.jpg,1920,1080,18,0,0,0,0.0
158,pavilion_048_4245.jpg,1920,1080,19,0,0,0,0.0
159,pavilion_048_4260.jpg,1920,1080,20,0,0,0,0.0
160,pavilion_048_435.jpg,1920,1080,20,0,0,0,0.0
161,pavilion_048_4470.jpg,1920,1080,24,0,0,0,0.0
162,pavilion_048_4560.jpg,1920,1080,23,0,0,0,0.0
163,pavilion_048_4590.jpg,1920,1080,23,0,0,0,0.0
164,pavilion_048_4680.jpg,1920,1080,24,0,0,0,0.0
165,pavilion_048_4710.jpg,1920,1080,23,0,0,0,0.0
166,pavilion_048_4845.jpg,1920,1080,23,0,0,0,0.0
167,pavilion_048_495.jpg,1920,1080,20,0,0,0,0.0
168,pavilion_048_4980.jpg,1920,1080,27,0,0,0,0.0
169,pavilion_048_5250.jpg,1920,1080,24,0,0,0,0.0
170,pavilion_048_5295.jpg,1920,1080,23,0,0,0,0.0
171,pavilion_048_5385.jpg,1920,1080,23,0,0,0,0.0
172,pavilion_048_5400.jpg,1920,1080,24,0,0,0,0.0
173,pavilion_048_5415.jpg,1920,1080,25,0,0,0,0.0
174,pavilion_048_5460.jpg,1920,1080,26,0,0,0,0.0
175,pavilion_048_5565.jpg,1920,1080,24,0,0,0,0.0
176,pavilion_048_5655.jpg,1920,1080,24,0,0,0,0.0
177,pavilion_048_570.jpg,1920,1080,20,0,0,0,0.0
178,pavilion_048_5745.jpg,1920,1080,24,0,0,0,0.0
179,pavilion_048_5760.jpg,1920,1080,24,0,0,0,0.0
180,pavilion_048_5925.jpg,1920,1080,26,0,0,0,0.0
181,pavilion_048_5970.jpg,1920,1080,26,0,0,0,0.0
182,pavilion_048_6000.jpg,1920,1080,25,0,0,0,0.0
183,pavilion_048_6075.jpg,1920,1080,23,0,0,0,0.0
184,pavilion_048_6135.jpg,1920,1080,23,0,0,0,0.0
185,pavilion_048_6165.jpg,1920,1080,22,0,0,0,0.0
186,pavilion_048_6240.jpg,1920,1080,22,0,0,0,0.0
187,pavilion_048_630.jpg,1920,1080,20,0,0,0,0.0
188,pavilion_048_6480.jpg,1920,1080,22,0,0,0,0.0
189,pavilion_048_6525.jpg,1920,1080,23,0,0,0,0.0
190,pavilion_048_6645.jpg,1920,1080,23,0,0,0,0.0
191,pavilion_048_6765.jpg,1920,1080,23,0,0,0,0.0
192,pavilion_048_6840.jpg,1920,1080,24,0,1,0,0.0416666666666666
193,pavilion_048_6960.jpg,1920,1080,22,0,0,0,0.0
194,pavilion_048_7005.jpg,1920,1080,23,0,0,0,0.0
195,pavilion_048_7110.jpg,1920,1080,22,0,0,0,0.0
196,pavilion_048_7140.jpg,1920,1080,23,0,1,0,0.0434782608695652
197,pavilion_048_7185.jpg,1920,1080,23,0,0,0,0.0
198,pavilion_048_7215.jpg,1920,1080,22,0,0,0,0.0
199,pavilion_048_7275.jpg,1920,1080,20,0,0,0,0.0
200,pavilion_048_7380.jpg,1920,1080,21,0,0,0,0.0
201,pavilion_048_7395.jpg,1920,1080,21,0,0,0,0.0
202,pavilion_048_7485.jpg,1920,1080,24,0,0,0,0.0
203,pavilion_048_75.jpg,1920,1080,24,0,0,0,0.0
204,pavilion_048_7605.jpg,1920,1080,24,0,0,0,0.0
205,pavilion_048_7650.jpg,1920,1080,24,0,0,0,0.0
206,pavilion_048_7785.jpg,1920,1080,20,0,0,0,0.0
207,pavilion_048_7830.jpg,1920,1080,21,0,0,0,0.0
208,pavilion_048_7845.jpg,1920,1080,23,0,0,0,0.0
209,pavilion_048_7995.jpg,1920,1080,24,0,0,0,0.0
210,pavilion_048_8025.jpg,1920,1080,24,0,0,0,0.0
211,pavilion_048_8145.jpg,1920,1080,19,0,0,0,0.0
212,pavilion_048_8415.jpg,1920,1080,21,0,0,0,0.0
213,pavilion_048_8505.jpg,1920,1080,25,0,0,0,0.0
214,pavilion_048_8520.jpg,1920,1080,26,0,0,0,0.0
215,pavilion_048_8670.jpg,1920,1080,23,0,0,0,0.0
216,pavilion_048_8700.jpg,1920,1080,21,0,0,0,0.0
217,pavilion_048_885.jpg,1920,1080,21,0,0,0,0.0
218,pavilion_048_945.jpg,1920,1080,20,0,0,0,0.0
219,pavilion_048_990.jpg,1920,1080,21,0,0,0,0.0
220,train101.jpg,512,512,24,0,0,0,0.0
221,train108.jpg,512,512,20,0,1,0,0.05
222,train11.jpg,512,512,14,0,1,0,0.0714285714285714
223,train112.jpg,512,512,12,0,1,0,0.0833333333333333
224,train120.jpg,512,512,20,0,1,0,0.05
225,train125.jpg,512,512,25,0,0,0,0.0
226,train127.jpg,512,512,12,0,0,0,0.0
227,train27.jpg,512,512,6,0,1,0,0.1666666666666666
228,train34.jpg,512,512,14,0,1,0,0.0714285714285714
229,train39.jpg,512,512,6,0,1,0,0.1666666666666666
230,train42.jpg,512,512,20,0,0,0,0.0
231,train53.jpg,512,512,27,0,1,0,0.037037037037037
232,train55.jpg,512,512,12,0,0,0,0.0
233,train57.jpg,512,512,11,0,0,0,0.0
234,train63.jpg,512,512,6,0,0,0,0.0
235,train67.jpg,512,512,12,0,0,0,0.0
236,train68.jpg,512,512,4,0,0,0,0.0
237,train7.jpg,512,512,12,0,1,0,0.0833333333333333
238,train70.jpg,512,512,14,0,1,0,0.0714285714285714
239,train78.jpg,512,512,20,0,0,0,0.0
240,train82.jpg,512,512,14,0,1,0,0.0714285714285714
241,train85.jpg,512,512,56,0,4,0,0.0714285714285714
242,train86.jpg,512,512,11,0,0,0,0.0
243,train87.jpg,512,512,6,0,0,0,0.0
244,train9.jpg,512,512,13,0,1,0,0.0769230769230769
245,train95.jpg,512,512,14,0,1,0,0.0714285714285714
246,train97.jpg,512,512,54,0,5,1,0.0925925925925925
247,train98.jpg,512,512,11,0,0,0,0.0
248,train99.jpg,512,512,6,0,0,0,0.0
249,traina101.jpg,512,512,8,0,0,0,0.0
250,traina105.jpg,512,512,13,0,0,0,0.0
251,traina115.jpg,512,512,2,0,0,0,0.0
252,traina119.jpg,512,512,3,0,0,0,0.0
253,traina137.jpg,512,512,9,0,0,0,0.0
254,traina144.jpg,512,512,2,0,0,0,0.0
255,traina15.jpg,512,512,3,0,0,0,0.0
256,traina151.jpg,512,512,2,0,0,0,0.0
257,traina157.jpg,512,512,13,0,0,0,0.0
258,traina162.jpg,512,512,6,0,0,0,0.0
259,traina163.jpg,512,512,2,0,0,0,0.0
260,traina17.jpg,512,512,7,0,0,0,0.0
261,traina172.jpg,512,512,5,0,0,0,0.0
262,traina174.jpg,512,512,6,0,0,0,0.0
263,traina176.jpg,512,512,19,0,1,0,0.0526315789473684
264,traina179.jpg,512,512,3,0,0,0,0.0
265,traina180.jpg,512,512,2,0,0,0,0.0
266,traina181.jpg,512,512,13,0,0,0,0.0
267,traina183.jpg,512,512,3,0,0,0,0.0
268,traina184.jpg,512,512,5,0,0,0,0.0
269,traina194.jpg,512,512,10,0,0,0,0.0
270,traina204.jpg,512,512,2,0,0,0,0.0
271,traina207.jpg,512,512,3,0,0,0,0.0
272,traina217.jpg,512,512,14,0,0,0,0.0
273,traina220.jpg,512,512,6,0,0,0,0.0
274,traina221.jpg,512,512,9,0,0,0,0.0
275,traina224.jpg,512,512,20,0,0,0,0.0
276,traina226.jpg,512,512,8,0,0,0,0.0
277,traina228.jpg,512,512,2,0,0,0,0.0
278,traina230.jpg,512,512,10,0,0,0,0.0
279,traina25.jpg,512,512,14,0,0,0,0.0
280,traina256.jpg,512,512,6,0,0,0,0.0
281,traina257.jpg,512,512,9,0,0,0,0.0
282,traina261.jpg,512,512,12,0,0,0,0.0
283,traina263.jpg,512,512,3,0,0,0,0.0
284,traina269.jpg,512,512,8,0,0,0,0.0
285,traina296.jpg,512,512,21,0,0,0,0.0
286,traina311.jpg,512,512,4,0,0,0,0.0
287,traina312.jpg,512,512,2,0,0,0,0.0
