dataset,split_name,position,img_id,img_name
visdrone,V_gtfree_active_minical_20,0,1,0000001_03499_d_0000006.jpg
visdrone,V_gtfree_active_minical_20,1,9,0000021_00000_d_0000001.jpg
visdrone,V_gtfree_active_minical_20,2,12,0000022_00000_d_0000004.jpg
visdrone,V_gtfree_active_minical_20,3,18,0000023_00868_d_0000010.jpg
visdrone,V_gtfree_active_minical_20,4,22,0000024_01000_d_0000014.jpg
visdrone,V_gtfree_active_minical_20,5,33,0000026_04500_d_0000033.jpg
visdrone,V_gtfree_active_minical_20,6,36,0000055_00714_d_0000110.jpg
visdrone,V_gtfree_active_minical_20,7,43,0000069_02480_d_0000007.jpg
visdrone,V_gtfree_active_minical_20,8,44,0000072_02834_d_0000003.jpg
visdrone,V_gtfree_active_minical_20,9,45,0000076_02142_d_0000009.jpg
visdrone,V_gtfree_active_minical_20,10,46,0000081_00000_d_0000001.jpg
visdrone,V_gtfree_active_minical_20,11,51,0000086_01954_d_0000005.jpg
visdrone,V_gtfree_active_minical_20,12,55,0000103_02544_d_0000029.jpg
visdrone,V_gtfree_active_minical_20,13,63,0000115_00796_d_0000081.jpg
visdrone,V_gtfree_active_minical_20,14,68,0000116_01338_d_0000086.jpg
visdrone,V_gtfree_active_minical_20,15,69,0000117_00112_d_0000087.jpg
visdrone,V_gtfree_active_minical_20,16,74,0000129_02411_d_0000138.jpg
visdrone,V_gtfree_active_minical_20,17,75,0000153_00001_d_0000001.jpg
visdrone,V_gtfree_active_minical_20,18,84,0000154_01201_d_0000001.jpg
visdrone,V_gtfree_active_minical_20,19,92,0000155_01871_d_0000001.jpg
