dataset,split_name,position,img_id,img_name
visdrone,V_tr_official,0,0,0000002_00005_d_0000014.jpg
visdrone,V_tr_official,1,1,0000002_00448_d_0000015.jpg
visdrone,V_tr_official,2,2,0000003_00231_d_0000016.jpg
visdrone,V_tr_official,3,3,0000007_04999_d_0000036.jpg
visdrone,V_tr_official,4,4,0000007_05499_d_0000037.jpg
visdrone,V_tr_official,5,5,0000007_05999_d_0000038.jpg
visdrone,V_tr_official,6,6,0000008_00889_d_0000039.jpg
visdrone,V_tr_official,7,7,0000008_01999_d_0000040.jpg
visdrone,V_tr_official,8,8,0000008_02499_d_0000041.jpg
visdrone,V_tr_official,9,9,0000008_02999_d_0000042.jpg
visdrone,V_tr_official,10,10,0000008_03499_d_0000043.jpg
visdrone,V_tr_official,11,11,0000008_03999_d_0000044.jpg
visdrone,V_tr_official,12,12,0000008_04499_d_0000045.jpg
visdrone,V_tr_official,13,13,0000010_00569_d_0000056.jpg
visdrone,V_tr_official,14,14,0000010_05149_d_0000057.jpg
visdrone,V_tr_official,15,15,0000010_05291_d_0000058.jpg
visdrone,V_tr_official,16,16,0000013_00465_d_0000067.jpg
visdrone,V_tr_official,17,17,0000016_00420_d_0000068.jpg
visdrone,V_tr_official,18,18,0000016_01352_d_0000069.jpg
visdrone,V_tr_official,19,19,0000030_00754_d_0000036.jpg
visdrone,V_tr_official,20,20,0000031_00000_d_0000037.jpg
visdrone,V_tr_official,21,21,0000031_02000_d_0000041.jpg
visdrone,V_tr_official,22,22,0000031_03527_d_0000043.jpg
visdrone,V_tr_official,23,23,0000036_00500_d_0000046.jpg
visdrone,V_tr_official,24,24,0000036_03591_d_0000048.jpg
visdrone,V_tr_official,25,25,0000037_01494_d_0000052.jpg
visdrone,V_tr_official,26,26,0000039_00000_d_0000055.jpg
visdrone,V_tr_official,27,27,0000039_05300_d_0000061.jpg
visdrone,V_tr_official,28,28,0000039_05625_d_0000062.jpg
visdrone,V_tr_official,29,29,0000040_01000_d_0000066.jpg
visdrone,V_tr_official,30,30,0000040_01500_d_0000067.jpg
visdrone,V_tr_official,31,31,0000040_02454_d_0000068.jpg
visdrone,V_tr_official,32,32,0000040_03288_d_0000069.jpg
visdrone,V_tr_official,33,33,0000040_03752_d_0000070.jpg
visdrone,V_tr_official,34,34,0000040_04284_d_0000071.jpg
visdrone,V_tr_official,35,35,0000042_01000_d_0000074.jpg
visdrone,V_tr_official,36,36,0000042_02231_d_0000075.jpg
visdrone,V_tr_official,37,37,0000042_02421_d_0000076.jpg
visdrone,V_tr_official,38,38,0000043_00500_d_0000077.jpg
visdrone,V_tr_official,39,39,0000045_00000_d_0000083.jpg
visdrone,V_tr_official,40,40,0000045_00500_d_0000084.jpg
visdrone,V_tr_official,41,41,0000045_01032_d_0000085.jpg
visdrone,V_tr_official,42,42,0000045_01500_d_0000086.jpg
visdrone,V_tr_official,43,43,0000046_00000_d_0000087.jpg
visdrone,V_tr_official,44,44,0000046_00720_d_0000088.jpg
visdrone,V_tr_official,45,45,0000047_01000_d_0000090.jpg
visdrone,V_tr_official,46,46,0000047_02500_d_0000093.jpg
visdrone,V_tr_official,47,47,0000047_03500_d_0000095.jpg
visdrone,V_tr_official,48,48,0000048_01989_d_0000098.jpg
visdrone,V_tr_official,49,49,0000050_00500_d_0000104.jpg
visdrone,V_tr_official,50,50,0000056_00727_d_0000111.jpg
visdrone,V_tr_official,51,51,0000059_01886_d_0000114.jpg
visdrone,V_tr_official,52,52,0000068_00001_d_0000001.jpg
visdrone,V_tr_official,53,53,0000068_00460_d_0000002.jpg
visdrone,V_tr_official,54,54,0000068_00571_d_0000003.jpg
visdrone,V_tr_official,55,55,0000068_01001_d_0000004.jpg
visdrone,V_tr_official,56,56,0000068_01500_d_0000005.jpg
visdrone,V_tr_official,57,57,0000068_02104_d_0000006.jpg
visdrone,V_tr_official,58,58,0000068_02648_d_0000007.jpg
visdrone,V_tr_official,59,59,0000068_02805_d_0000008.jpg
visdrone,V_tr_official,60,60,0000068_03174_d_0000009.jpg
visdrone,V_tr_official,61,61,0000068_03388_d_0000010.jpg
visdrone,V_tr_official,62,62,0000068_03581_d_0000011.jpg
visdrone,V_tr_official,63,63,0000068_03714_d_0000012.jpg
visdrone,V_tr_official,64,64,0000068_03918_d_0000013.jpg
visdrone,V_tr_official,65,65,0000068_04169_d_0000014.jpg
visdrone,V_tr_official,66,66,0000070_04722_d_0000001.jpg
visdrone,V_tr_official,67,67,0000070_05163_d_0000002.jpg
visdrone,V_tr_official,68,68,0000070_05312_d_0000003.jpg
visdrone,V_tr_official,69,69,0000070_05776_d_0000004.jpg
visdrone,V_tr_official,70,70,0000070_05880_d_0000005.jpg
visdrone,V_tr_official,71,71,0000070_06990_d_0000007.jpg
visdrone,V_tr_official,72,72,0000071_00007_d_0000001.jpg
visdrone,V_tr_official,73,73,0000071_02729_d_0000002.jpg
visdrone,V_tr_official,74,74,0000071_03136_d_0000003.jpg
visdrone,V_tr_official,75,75,0000071_03281_d_0000004.jpg
visdrone,V_tr_official,76,76,0000071_03470_d_0000005.jpg
visdrone,V_tr_official,77,77,0000071_03522_d_0000006.jpg
visdrone,V_tr_official,78,78,0000071_04085_d_0000007.jpg
visdrone,V_tr_official,79,79,0000071_05298_d_0000008.jpg
