dataset,split_name,position,img_id,img_name
visdrone,V_active_budget_m2_safe100,0,1,0000001_03499_d_0000006.jpg
visdrone,V_active_budget_m2_safe100,1,10,0000021_00500_d_0000002.jpg
visdrone,V_active_budget_m2_safe100,2,12,0000022_00000_d_0000004.jpg
visdrone,V_active_budget_m2_safe100,3,16,0000023_00000_d_0000008.jpg
visdrone,V_active_budget_m2_safe100,4,22,0000024_01000_d_0000014.jpg
visdrone,V_active_budget_m2_safe100,5,34,0000026_04978_d_0000034.jpg
visdrone,V_active_budget_m2_safe100,6,36,0000055_00714_d_0000110.jpg
visdrone,V_active_budget_m2_safe100,7,43,0000069_02480_d_0000007.jpg
visdrone,V_active_budget_m2_safe100,8,44,0000072_02834_d_0000003.jpg
visdrone,V_active_budget_m2_safe100,9,45,0000076_02142_d_0000009.jpg
visdrone,V_active_budget_m2_safe100,10,46,0000081_00000_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,11,51,0000086_01954_d_0000005.jpg
visdrone,V_active_budget_m2_safe100,12,56,0000103_02964_d_0000030.jpg
visdrone,V_active_budget_m2_safe100,13,62,0000115_00315_d_0000080.jpg
visdrone,V_active_budget_m2_safe100,14,68,0000116_01338_d_0000086.jpg
visdrone,V_active_budget_m2_safe100,15,69,0000117_00112_d_0000087.jpg
visdrone,V_active_budget_m2_safe100,16,74,0000129_02411_d_0000138.jpg
visdrone,V_active_budget_m2_safe100,17,78,0000153_01201_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,18,80,0000153_01801_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,19,82,0000154_00401_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,20,89,0000155_00801_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,21,96,0000162_01058_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,22,98,0000163_00359_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,23,99,0000165_04325_d_0000105.jpg
visdrone,V_active_budget_m2_safe100,24,100,0000166_00558_d_0000118.jpg
visdrone,V_active_budget_m2_safe100,25,108,0000193_02606_d_0000117.jpg
visdrone,V_active_budget_m2_safe100,26,111,0000194_00200_d_0000120.jpg
visdrone,V_active_budget_m2_safe100,27,116,0000194_01192_d_0000125.jpg
visdrone,V_active_budget_m2_safe100,28,117,0000196_04512_d_0000144.jpg
visdrone,V_active_budget_m2_safe100,29,118,0000199_01269_d_0000166.jpg
visdrone,V_active_budget_m2_safe100,30,119,0000213_02500_d_0000240.jpg
visdrone,V_active_budget_m2_safe100,31,127,0000215_00000_d_0000256.jpg
visdrone,V_active_budget_m2_safe100,32,136,0000216_00520_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,33,137,0000220_01242_d_0000004.jpg
visdrone,V_active_budget_m2_safe100,34,138,0000223_01802_d_0000005.jpg
visdrone,V_active_budget_m2_safe100,35,139,0000237_00001_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,36,147,0000242_01912_d_0000008.jpg
visdrone,V_active_budget_m2_safe100,37,154,0000242_05059_d_0000015.jpg
visdrone,V_active_budget_m2_safe100,38,156,0000242_06010_d_0000017.jpg
visdrone,V_active_budget_m2_safe100,39,160,0000244_01000_d_0000003.jpg
visdrone,V_active_budget_m2_safe100,40,161,0000244_01500_d_0000004.jpg
visdrone,V_active_budget_m2_safe100,41,163,0000244_02500_d_0000006.jpg
visdrone,V_active_budget_m2_safe100,42,164,0000244_03000_d_0000007.jpg
visdrone,V_active_budget_m2_safe100,43,169,0000244_05400_d_0000012.jpg
visdrone,V_active_budget_m2_safe100,44,170,0000244_05900_d_0000013.jpg
visdrone,V_active_budget_m2_safe100,45,171,0000244_06388_d_0000014.jpg
visdrone,V_active_budget_m2_safe100,46,172,0000249_00001_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,47,174,0000249_00603_d_0000003.jpg
visdrone,V_active_budget_m2_safe100,48,175,0000249_01100_d_0000004.jpg
visdrone,V_active_budget_m2_safe100,49,177,0000249_01635_d_0000006.jpg
visdrone,V_active_budget_m2_safe100,50,178,0000249_02073_d_0000007.jpg
visdrone,V_active_budget_m2_safe100,51,179,0000249_02468_d_0000008.jpg
visdrone,V_active_budget_m2_safe100,52,180,0000249_02900_d_0000009.jpg
visdrone,V_active_budget_m2_safe100,53,183,0000253_00001_d_0000001.jpg
visdrone,V_active_budget_m2_safe100,54,184,0000256_00715_d_0000019.jpg
visdrone,V_active_budget_m2_safe100,55,186,0000263_02401_d_0000179.jpg
